Date,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore,MACD,MACD_Signal
2019-01-16,0.53550000,0.53550000,0.46680000,0.48950000,1343660.31000000,2019-01-16 23:59:59.999,665013.64444900,3492,602419.92000000,300116.38701200,0,,
2019-01-17,0.48950000,0.49530000,0.46390000,0.47560000,1411725.35000000,2019-01-17 23:59:59.999,673447.20859700,3987,778386.36000000,370875.08545300,0,,
2019-01-18,0.47620000,0.51120000,0.46010000,0.48940000,984417.59000000,2019-01-18 23:59:59.999,474999.28624200,5662,463067.14000000,223476.04649200,0,,
2019-01-19,0.49080000,0.50000000,0.46730000,0.48310000,735443.20000000,2019-01-19 23:59:59.999,354090.04104600,4482,335579.52000000,162108.45031700,0,,
2019-01-20,0.48030000,0.49200000,0.45900000,0.48340000,677499.56000000,2019-01-20 23:59:59.999,323333.55383800,2098,315527.36000000,150762.22998200,0,,
2019-01-21,0.48390000,0.51980000,0.46500000,0.49720000,897787.84000000,2019-01-21 23:59:59.999,446086.78762000,3020,475523.36000000,237158.03957400,0,,
2019-01-22,0.49600000,0.56560000,0.49560000,0.53440000,1784953.50000000,2019-01-22 23:59:59.999,955513.88102100,4972,810120.63000000,432224.62754400,0,,
2019-01-23,0.53420000,0.54750000,0.49010000,0.50460000,1827069.39000000,2019-01-23 23:59:59.999,940352.29775900,4592,909871.19000000,467161.14826600,0,,
2019-01-24,0.50460000,0.50650000,0.45180000,0.50170000,1529219.53000000,2019-01-24 23:59:59.999,745639.12774000,3970,574885.47000000,280696.72390400,0,,
2019-01-25,0.50310000,0.51570000,0.47120000,0.47390000,1112869.08000000,2019-01-25 23:59:59.999,544844.84407300,3319,385408.17000000,189487.35591200,0,,
2019-01-26,0.47360000,0.48840000,0.46240000,0.46610000,865653.89000000,2019-01-26 23:59:59.999,410185.82163700,2529,355712.12000000,169019.63476000,0,,
2019-01-27,0.46610000,0.46660000,0.42290000,0.43030000,2278919.65000000,2019-01-27 23:59:59.999,1004304.90209200,4757,814389.66000000,359170.58306000,0,,
2019-01-28,0.43100000,0.43130000,0.35040000,0.41160000,4006211.85000000,2019-01-28 23:59:59.999,1540777.01884600,7036,1545123.37000000,596264.22424300,0,,
2019-01-29,0.41040000,0.46380000,0.40610000,0.45050000,5190825.37000000,2019-01-29 23:59:59.999,2252399.73611900,10723,2476608.43000000,1075979.89704300,0,,
2019-01-30,0.45050000,0.45140000,0.41300000,0.42490000,2092369.59000000,2019-01-30 23:59:59.999,897815.12691100,5128,904982.23000000,388805.40585600,0,,
2019-01-31,0.42500000,0.44100000,0.38110000,0.38320000,2029033.61000000,2019-01-31 23:59:59.999,826552.03024600,4899,823413.46000000,335950.01599700,0,,
2019-02-01,0.38500000,0.43000000,0.38000000,0.41470000,1899232.56000000,2019-02-01 23:59:59.999,768342.46727100,3972,666307.29000000,271311.38053600,0,,
2019-02-02,0.41630000,0.43300000,0.39850000,0.41360000,821033.48000000,2019-02-02 23:59:59.999,340840.33121800,2351,373799.97000000,155448.87821600,0,,
2019-02-03,0.41700000,0.41700000,0.38600000,0.39630000,1065170.56000000,2019-02-03 23:59:59.999,424303.97174900,2400,313942.12000000,125398.01305500,0,,
2019-02-04,0.39590000,0.41250000,0.38670000,0.39430000,1449384.96000000,2019-02-04 23:59:59.999,579009.58313900,2746,588770.86000000,236125.54959100,0,,
2019-02-05,0.39260000,0.43270000,0.39020000,0.42240000,1299107.03000000,2019-02-05 23:59:59.999,532341.10393400,3411,571362.11000000,235106.56976000,0,,
2019-02-06,0.42240000,0.42360000,0.39150000,0.40000000,1368546.21000000,2019-02-06 23:59:59.999,552819.62124300,3815,546898.85000000,220883.15803600,0,,
2019-02-07,0.40000000,0.40650000,0.39130000,0.40210000,498842.36000000,2019-02-07 23:59:59.999,199193.78253000,1770,202372.88000000,80981.87128900,0,,
2019-02-08,0.40210000,0.45000000,0.39850000,0.43830000,2015969.58000000,2019-02-08 23:59:59.999,859693.29860300,5194,1000399.46000000,428907.16082100,0,,
2019-02-09,0.43710000,0.48440000,0.43100000,0.46120000,1384815.95000000,2019-02-09 23:59:59.999,637171.04536500,4320,616400.15000000,284708.30269500,0,,
2019-02-10,0.46480000,0.48000000,0.43250000,0.44990000,2000850.55000000,2019-02-10 23:59:59.999,913391.61962000,5046,984505.09000000,451162.81404200,0,-0.012191074901290011,
2019-02-11,0.44950000,0.45150000,0.42000000,0.42890000,1580197.39000000,2019-02-11 23:59:59.999,685555.87263100,4364,760432.54000000,330746.33986400,0,-0.01147454137352677,
2019-02-12,0.42770000,0.43740000,0.41760000,0.42770000,941303.58000000,2019-02-12 23:59:59.999,400668.76040400,2718,378505.08000000,161526.52799300,0,-0.01087811719794557,
2019-02-13,0.42770000,0.44540000,0.41830000,0.44110000,935377.38000000,2019-02-13 23:59:59.999,400576.99087000,2886,402838.47000000,173398.87367200,0,-0.0092179202831974,
2019-02-14,0.44220000,0.44420000,0.42030000,0.42590000,942053.44000000,2019-02-14 23:59:59.999,407685.94135300,3034,363079.80000000,157487.72672200,0,-0.009024684292631813,
2019-02-15,0.42350000,0.45000000,0.42220000,0.43420000,612251.80000000,2019-02-15 23:59:59.999,264659.84946500,2328,245667.38000000,106084.79056500,0,-0.008108334906375136,
2019-02-16,0.43660000,0.44640000,0.42510000,0.43980000,465491.58000000,2019-02-16 23:59:59.999,203941.27210600,1988,186025.54000000,81708.16979100,0,-0.006851271029320816,
2019-02-17,0.43860000,0.47970000,0.43170000,0.46040000,1616509.72000000,2019-02-17 23:59:59.999,740396.47100200,4667,597833.00000000,272266.38620000,0,-0.004145009917334408,
2019-02-18,0.46150000,0.48230000,0.45340000,0.47100000,1430254.78000000,2019-02-18 23:59:59.999,671573.65859100,4250,701988.75000000,329827.01688100,0,-0.0011318992464922073,-0.0070371721308401984
2019-02-19,0.47100000,0.47890000,0.45200000,0.45980000,1548002.44000000,2019-02-19 23:59:59.999,724054.88301300,4036,679346.57000000,318733.44778800,0,0.0003482518403099544,-0.005560087336610169
2019-02-20,0.45480000,0.47480000,0.44320000,0.46180000,1358786.28000000,2019-02-20 23:59:59.999,625130.76704700,3853,540120.99000000,248568.86563100,0,0.0016634898503081197,-0.0041153718992265114
2019-02-21,0.46170000,0.47500000,0.43800000,0.44380000,1443214.98000000,2019-02-21 23:59:59.999,655875.79071600,4183,587352.26000000,267264.14559600,0,0.0012390923954598287,-0.003044479040289244
2019-02-22,0.44380000,0.46500000,0.44000000,0.44790000,700523.77000000,2019-02-22 23:59:59.999,313850.86364700,2334,263693.43000000,118391.88792600,0,0.0012195320830236112,-0.002191676815626673
2019-02-23,0.44800000,0.46400000,0.44370000,0.45850000,925529.64000000,2019-02-23 23:59:59.999,419693.72729800,2632,437151.83000000,198740.54129100,0,0.0020358932959807508,-0.0013461627933051884
2019-02-24,0.45920000,0.46440000,0.39750000,0.40500000,2154193.25000000,2019-02-24 23:59:59.999,917345.27556200,4851,840200.99000000,356610.69473100,0,-0.0016155147941067094,-0.0014000331934654925
